# Server version 0.08 running on web010041.wireless.mcgill.ca:8123
# Game ID: 421
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Apr 07 18:23:45 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260531701', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260531701
PIT 0 4
PIT 1 23
PIT 0 19
PIT 1 22
PIT 0 5
PIT 1 21
PIT 0 20
PIT 1 19
PIT 0 0
PIT 1 7
PIT 0 22
PIT 1 6
PIT 0 13
PIT 1 26
PIT 0 1
PIT 1 5
PIT 0 11
PIT 1 7
PIT 0 3
PIT 1 24
PIT 0 4
PIT 1 17
PIT 0 5
PIT 1 13
GAMEOVER WINNER 1
# Game ended: Thu Apr 07 18:23:47 EDT 2016
